Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DFMF,Crystal Palace,eng Premier League,25,1990,11,8,714,7.9,0.25,0,0.25,0,0,0.13,0,0.25,0,0.25,0.25,0.25,Matches,5f09991f
2,Patrick van Aanholt,nl NED,DFMF,Sunderland,eng Premier League,25,1990,21,20,1784,19.8,0.15,0.05,0.15,0,0,0.1,0,0.15,0.05,0.2,0.15,0.2,Matches,5f09991f
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,29,1986,23,22,1924,21.4,0,0.09,0,0,0,0.09,0,0,0.09,0.09,0,0.09,Matches,1c529186
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,18,15,1314,14.6,0,0,0,0,0,0.21,0,0,0,0,0,0,Matches,32c2d95f
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,13,9,879,9.8,0,0,0,0,0,0.41,0,0,0,0,0,0,Matches,2f798b41
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,28,27,2374,26.4,0.11,0.08,0.11,0,0,0.3,0,0.11,0.08,0.19,0.11,0.19,Matches,a4c3f7af
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,30,1986,30,30,2584,28.7,0.03,0.03,0.03,0,0,0.17,0.03,0.03,0.03,0.07,0.03,0.07,Matches,565bf0da
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,20,16,1320,14.7,0.07,0,0.07,0,0,0.2,0,0.07,0,0.07,0.07,0.07,Matches,1c08a3c8
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,38,3420,38,0.11,0,0.08,0.03,0.03,0.05,0,0.11,0,0.11,0.08,0.08,Matches,b96b595c
10,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5.79E+73
11,Maxwell Acosty,gh GHA,MFFW,Crotone,it Serie A,24,1991,11,3,378,4.2,0,0,0,0,0,0.48,0,0,0,0,0,0,Matches,64a674d9
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,20,13,1077,12,0.17,0,0.17,0,0,0.42,0.5,0.17,0,0.17,0.17,0.17,Matches,d7403bd5
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,24,17,1517,16.9,0.06,0.18,0,0.06,0.06,0.41,0,0.06,0.18,0.24,0,0.18,Matches,aff418dc
14,Antonio Adán,es ESP,GK,Betis,es La Liga,29,1987,37,37,3330,37,0,0,0,0,0,0.14,0,0,0,0,0,0,Matches,65d62814
15,Jordan Adéoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,27,23,2120,23.6,0,0.04,0,0,0,0.13,0,0,0.04,0.04,0,0.04,Matches,508c8f3e
16,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,18,1998,9,6,510,5.7,0.18,0,0.18,0,0,0.53,0,0.18,0,0.18,0.18,0.18,Matches,ce5b170a
17,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,19,1710,19,0,0,0,0,0,0.05,0,0,0,0,0,0,Matches,f71890f5
18,Ali Adnan Kadhim,iq IRQ,DFMF,Udinese,it Serie A,22,1993,14,8,872,9.7,0,0,0,0,0,0.21,0,0,0,0,0,0,Matches,6050480
19,Albert Adomah,gh GHA,MF,Middlesbrough,eng Premier League,28,1987,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c7174e81
20,Adrián,es ESP,GK,West Ham,eng Premier League,29,1987,16,16,1440,16,0,0,0,0,0,0.06,0,0,0,0,0,0,Matches,f76e6b4e
21,Luiz Adriano,br BRA,FW,Milan,it Serie A,29,1987,7,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2557c196
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,32,27,2458,27.3,0.59,0.04,0.4,0.18,0.18,0.29,0.04,0.59,0.04,0.62,0.4,0.44,Matches,2.93E+06
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,30,1986,12,3,384,4.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9a8c6673
24,Akram Afif,qa QAT,MF,Sporting Gijón,es La Liga,19,1996,9,2,234,2.6,0,0,0,0,0,0.77,0,0,0,0,0,0,Matches,fd53d9e7
25,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,31,14,1461,16.2,0.37,0.19,0.37,0,0.06,0.06,0,0.37,0.18,0.55,0.37,0.55,Matches,b63f4077
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,28,1988,31,25,2403,26.7,0.75,0.15,0.6,0.15,0.19,0.15,0.04,0.75,0.15,0.9,0.6,0.75,Matches,4d034881
27,Dan Agyei,eng ENG,FW,Burnley,eng Premier League,19,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5c374509
28,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,29,20,2033,22.6,0,0.13,0,0,0,0.09,0,0,0.13,0.13,0,0.13,Matches,fe0b8f0e
29,Ola Aina,ng NGA,DFMF,Chelsea,eng Premier League,19,1996,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,246d153b
30,Youssef Aït Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,26,23,1930,21.4,0.14,0.05,0.14,0,0,0.14,0,0.14,0.05,0.19,0.14,0.19,Matches,c46fa34c
31,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,23,1993,8,6,492,5.5,0,0,0,0,0,0.55,0,0,0,0,0,0,Matches,539b773e
32,Arlind Ajeti,al ALB,DF,Torino,it Serie A,22,1993,4,3,251,2.8,0.36,0,0.36,0,0,0.36,0,0.36,0,0.36,0.36,0.36,Matches,f9714604
33,Nathan Aké,nl NED,DF,Chelsea,eng Premier League,21,1995,2,1,99,1.1,0,0,0,0,0,0.91,0,0,0,0,0,0,Matches,eaeca114
34,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,21,1995,10,8,735,8.2,0.37,0,0.37,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches,eaeca114
35,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,fr Ligue 1,23,1992,2,0,73,0.8,0,0,0,0,0,1.25,0,0,0,0,0,0,Matches,fdf4b948
36,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,24,1992,32,29,2506,27.8,0.14,0.14,0.14,0,0,0.04,0,0.14,0.14,0.29,0.14,0.29,Matches,05439de2
37,Javi Álamo,es ESP,FWMF,Osasuna,es La Liga,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ffd69308
38,Jordi Alba,es ESP,DF,Barcelona,es La Liga,27,1989,26,21,1968,21.9,0.05,0.27,0.05,0,0,0.18,0,0.05,0.27,0.32,0.05,0.32,Matches,4.60E+197
39,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,27,26,2335,25.9,0.04,0.04,0.04,0,0,0.39,0.04,0.04,0.04,0.08,0.04,0.08,Matches,348e4809
40,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,23,1992,9,4,365,4.1,0.24,0.49,0.24,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches,5294a83f
