Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,27.9,0.11,0.07,0.07,0.04,0.04,0,0,0.11,0.07,0.18,0.07,0.14,0.09,0.06,0.11,0.17,0.08,0.11,0.2,0.06,0.17,Matches,5f09991f
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,36,0,0.03,0,0,0,0.19,0,0,0.03,0.03,0,0.03,0.01,0.01,0.09,0.11,0.01,0.09,0.11,0.01,0.11,Matches,774cf58b
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,28,0.11,0,0.11,0,0,0,0,0.11,0,0.11,0.11,0.11,0.05,0.05,0,0.05,0.05,0,0.05,0.05,0.05,Matches,32c2d95f
4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,0.59,0,0.59,0,0,0.59,0,0.57,0,0.57,0.57,0.57,0.76,0.76,0.12,0.82,0.72,0.1,0.82,0.72,0.82,Matches,abf0cad0
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,20.2,0.05,0.1,0.05,0,0,0.25,0,0.05,0.1,0.15,0.05,0.15,0.08,0.08,0.07,0.15,0.08,0.07,0.15,0.08,0.15,Matches,a4c3f7af
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,0.29,0,0,0,0,0,0,0.03,0.03,0.16,0.19,0.03,0.16,0.19,0.03,0.19,Matches,469d3d84
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,18.8,0.11,0,0.11,0,0,0.11,0.05,0.11,0,0.11,0.11,0.11,0.07,0.07,0.01,0.08,0.07,0,0.08,0.07,0.08,Matches,565bf0da
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,24.6,0.61,0.12,0.61,0,0,0.08,0,0.61,0.12,0.73,0.61,0.73,0.57,0.57,0.1,0.67,0.57,0.1,0.67,0.57,0.67,Matches,f586779e
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,0.41,0,0,0,0,0,0,0.05,0.05,0.01,0.07,0.05,0.02,0.07,0.05,0.07,Matches,1c08a3c8
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,35.1,0.06,0.06,0.06,0,0,0.11,0,0.06,0.06,0.11,0.06,0.11,0.06,0.06,0.05,0.1,0.06,0.05,0.1,0.06,0.1,Matches,b96b595c
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,30,12,1111,12.3,0.33,0.16,0.33,0,0,0,0,0.32,0.16,0.49,0.32,0.49,0.33,0.33,0.1,0.42,0.32,0.1,0.42,0.32,0.42,Matches,f2bf1b0f
12,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,14,10,953,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.08,0.04,0.05,0.09,0.04,0.09,Matches,2b09d998
13,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,15,6,746,8.3,0.6,0.12,0.6,0,0,0.12,0,0.6,0.12,0.72,0.6,0.72,0.49,0.49,0.11,0.6,0.49,0.11,0.6,0.49,0.6,Matches,2.29E+101
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,11,0,188,2.1,0.48,0,0.48,0,0,0.48,0,0.48,0,0.48,0.48,0.48,0.81,0.81,0.05,0.86,0.82,0.06,0.88,0.82,0.88,Matches,3ed84b2c
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0.23,0.22,0,0.22,0.22,0.22,Matches,ce5b170a
17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,4,0,46,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.11,0.11,0,0.11,Matches,dcfb17f4
18,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,21,11,1020,11.3,0.27,0.27,0.27,0,0,0.27,0,0.26,0.26,0.53,0.26,0.53,0.08,0.08,0.18,0.26,0.08,0.18,0.26,0.08,0.26,Matches,26777636
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f76e6b4e
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,14,0,208,2.3,0.43,0,0.43,0,0.43,1.3,0,0.43,0,0.43,0.43,0.43,0.57,0.26,0,0.26,0.58,0,0.58,0.25,0.25,Matches,2.93E+06
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,20,1805,20.1,0.05,0,0.05,0,0,0.25,0.05,0.05,0,0.05,0.05,0.05,0.01,0.01,0.09,0.11,0.02,0.1,0.11,0.02,0.11,Matches,073b1b37
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,23,2099,23.3,0.04,0.04,0.04,0,0,0.21,0.04,0.04,0.04,0.09,0.04,0.09,0.04,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.08,Matches,355c883a
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,0,68,0.8,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0.13,0.13,0,0.08,0.08,0,0.08,Matches,8bc8829a
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.43,0.29,0.71,0.45,0.3,0.75,0.45,0.75,Matches,46fa7204
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,10,7,666,7.4,0.14,0.14,0.14,0,0,0.68,0.14,0.14,0.14,0.27,0.14,0.27,0.15,0.15,0.16,0.31,0.15,0.16,0.31,0.15,0.31,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,11,957,10.6,0.09,0,0.09,0,0,0.19,0,0.09,0,0.09,0.09,0.09,0.07,0.07,0,0.07,0.06,0,0.06,0.06,0.06,Matches,288e1e13
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,18,1452,16.1,0.99,0.19,0.87,0.12,0.19,0.06,0,0.99,0.19,1.18,0.87,1.05,0.88,0.74,0.15,0.89,0.88,0.15,1.03,0.74,0.88,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,11,1072,11.9,0,0.17,0,0,0,0.17,0.17,0,0.17,0.17,0,0.17,0.01,0.01,0.13,0.13,0.01,0.12,0.13,0.01,0.13,Matches,3dd738a1
29,Emmanuel Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,10,2,230,2.6,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,fe0b8f0e
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,8,630,7,0.14,0.14,0.14,0,0,0.43,0.14,0.14,0.14,0.29,0.14,0.29,0.11,0.11,0.01,0.13,0.12,0.02,0.13,0.12,0.13,Matches,48b28bfd
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,27,2502,27.8,0,0.04,0,0,0,0.14,0,0,0.04,0.04,0,0.04,0.03,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.06,Matches,18abe173
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,32,20,2079,23.1,0,0.09,0,0,0,0.35,0,0,0.09,0.09,0,0.09,0.02,0.02,0.1,0.11,0.02,0.1,0.11,0.02,0.11,Matches,246d153b
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,6,536,6,0,0.17,0,0,0,0.17,0,0,0.17,0.17,0,0.17,0,0,0.02,0.02,0.01,0.02,0.03,0.01,0.03,Matches,c46fa34c
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,17,16,1282,14.2,0,0.14,0,0,0,0.21,0,0,0.14,0.14,0,0.14,0.01,0.01,0.06,0.07,0.01,0.06,0.07,0.01,0.07,Matches,9b398aea
35,Albian Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.13,0.07,0.03,0.11,0.07,0.11,Matches,2b1c4abd
